S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NO OF VOTERS (MARGIN),VOTE %,TOTAL NO OF VOTE CASTED,,,,
322,1996,Assam,Karimganj,1,Narayan Chandra Das,M,Independent,N/A,876542,874284,0.3,2258,,,,
323,1996,Assam,Karimganj,1,U C Das,M,All India Indira Congress (Tiwari),N/A,876542,872801,0.4,3741,,,,
324,1996,Assam,Karimganj,1,Jadav Rajbhor,M,Independent,N/A,876542,871309,0.6,5233,,,,
325,1996,Assam,Karimganj,1,Subal Chandra Das,M,Janata Dal,N/A,876542,862379,1.6,14163,,,,
326,1996,Assam,Karimganj,1,Nepal Chandra Das,M,Independent,N/A,876542,824235,6,52307,,,,
327,1996,Assam,Karimganj,1,Narayan Chandra Das,M,Asom Gana Parishad,N/A,876542,693127,20.9,183415,,,,
328,1996,Assam,Karimganj,1,Sabita Das,F,Indian National Congress,N/A,876542,685062,21.8,191480,,,,
329,1996,Assam,Karimganj,1,Dwaraka Nath Das,M,Bharatiya Janata Party,N/A,876542,652313,25.6,224229,,,,
330,1996,Assam,Silchar,2,Nityananda Das,M,Amra Bangalee,N/A,753298,752793,0.1,505,,,,
331,1996,Assam,Silchar,2,Uma Purkayastha,F,Independent,N/A,753298,752469,0.1,829,,,,
332,1996,Assam,Silchar,2,Bijoy Ranjan Paul,M,Independent,N/A,753298,750523,0.4,2775,,,,
333,1996,Assam,Silchar,2,Arikan Nessa,F,Independent,N/A,753298,749944,0.4,3354,,,,
334,1996,Assam,Silchar,2,Lal Mohan Dushad,M,All India Indira Congress (Tiwari),N/A,753298,749732,0.5,3566,,,,
335,1996,Assam,Silchar,2,Nurul Huda,M,Independent,N/A,753298,748986,0.6,4312,,,,
336,1996,Assam,Silchar,2,Chunilal Goala,M,Independent,N/A,753298,748500,0.6,4798,,,,
337,1996,Assam,Silchar,2,Debasish Chakraborty,M,Independent,N/A,753298,744500,1.2,8798,,,,
338,1996,Assam,Silchar,2,Noorul Huda,M,Communist Party Of India (Marxist),"Hammer, Sickle & Star",753298,632595,16,120703,,,,
339,1996,Assam,Silchar,2,Kabindra Purkayastha,M,Bharatiya Janata Party,N/A,753298,583635,22.5,169663,,,,
340,1996,Assam,Silchar,2,Sontosh Mohan Deb,M,Indian National Congress,N/A,753298,515494,31.6,237804,,,,
341,1996,Assam,Autonomous District,3,Kabon Timungpi,M,Independent,N/A,446596,445909,0.2,687,,,,
342,1996,Assam,Autonomous District,3,James Hanse,M,Independent,N/A,446596,444836,0.4,1760,,,,
343,1996,Assam,Autonomous District,3,Gujar Teron,M,Bharatiya Janata Party,N/A,446596,436228,2.3,10368,,,,
344,1996,Assam,Autonomous District,3,Gokul Ch. Hojai,M,Independent,N/A,446596,374598,16.1,71998,,,,
345,1996,Assam,Autonomous District,3,Elwin Teron,M,Indian National Congress,N/A,446596,369614,17.2,76982,,,,
346,1996,Assam,Autonomous District,3,Jayanta Rongpi,F,Autonomous State Demand Committee,N/A,446596,266484,40.3,180112,,,,
347,1996,Assam,Dhubri,4,Nazrul Islam,M,Samajwadi Party,N/A,930942,913022,1.9,17920,,,,
348,1996,Assam,Dhubri,4,Kazi Abul Hussain,M,All India Indira Congress (Tiwari),N/A,930942,888027,4.6,42915,,,,
349,1996,Assam,Dhubri,4,Minhar Ali Mandal,M,Independent,N/A,930942,875120,6,55822,,,,
350,1996,Assam,Dhubri,4,Panna Lal Oswal,M,Bharatiya Janata Party,N/A,930942,759957,18.4,170985,,,,
351,1996,Assam,Dhubri,4,Onkarmal Agarwal,M,Asom Gana Parishad,N/A,930942,748569,19.6,182373,,,,
352,1996,Assam,Dhubri,4,Nurul Islam,M,Indian National Congress,N/A,930942,616348,33.8,314594,,,,
353,1996,Assam,Kokrajhar,5,Amrit Lal Basumatary,M,Indian Congress (Socialist),N/A,977897,960737,1.8,17160,,,,
354,1996,Assam,Kokrajhar,5,Charan Narzary,M,Bharatiya Janata Party,N/A,977897,855288,12.5,122609,,,,
355,1996,Assam,Kokrajhar,5,Lahendra Basumatary,M,Indian National Congress,N/A,977897,848860,13.2,129037,,,,
356,1996,Assam,Kokrajhar,5,Pani Ram Rava,M,Asom Gana Parishad,N/A,977897,824357,15.7,153540,,,,
357,1996,Assam,Kokrajhar,5,Rabi Ram Brahma,M,Independent,N/A,977897,823763,15.8,154134,,,,
358,1996,Assam,Kokrajhar,5,Louis Islary,M,Independent,N/A,977897,792209,19,185688,,,,
359,1996,Assam,Barpeta,6,Soneswar Patowari,M,Independent,N/A,857358,855359,0.2,1999,,,,
360,1996,Assam,Barpeta,6,Pritish Kumar Roy,M,Independent,N/A,857358,845578,1.4,11780,,,,
361,1996,Assam,Barpeta,6,Mukhtar Ali,M,Independent,N/A,857358,844975,1.4,12383,,,,
362,1996,Assam,Barpeta,6,Abdul Hamid,M,All India Indira Congress (Tiwari),N/A,857358,838758,2.2,18600,,,,
363,1996,Assam,Barpeta,6,Bibekananda Talukdar,M,Bharatiya Janata Party,N/A,857358,756055,11.8,101303,,,,
364,1996,Assam,Barpeta,6,Muktar Hussain Khan,M,Indian National Congress,N/A,857358,755333,11.9,102025,,,,
365,1996,Assam,Barpeta,6,Abdus Samad Ahmed,M,"United Minorities Front, Assam",N/A,857358,674410,21.3,182948,,,,
366,1996,Assam,Barpeta,6,Uddhab Barman,M,Communist Party Of India (Marxist),"Hammer, Sickle & Star",857358,606907,29.2,250451,,,,
367,1996,Assam,Gauhati,7,Sujit Ranjan Chanda,M,Shivsena,N/A,1170068,1169116,0.1,952,,,,
368,1996,Assam,Gauhati,7,Bijay Krishna Ghosh,M,Independent,N/A,1170068,1168678,0.1,1390,,,,
369,1996,Assam,Gauhati,7,Manoranjan Basumatari,M,Independent,N/A,1170068,1167790,0.2,2278,,,,
