S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NO OF VOTERS (MARGIN),VOTE %,TOTAL NO OF VOTE CASTED,,,,
8498,1996,Uttar Pradesh,Mirzapur,54,Ramnarayan,M,Independent,N/A,1315877,1315686,0,191,,,,
8499,1996,Uttar Pradesh,Mirzapur,54,Akhilesh,M,Independent,N/A,1315877,1315677,0,200,,,,
8500,1996,Uttar Pradesh,Mirzapur,54,Suryalal Bind,M,Independent,N/A,1315877,1315675,0,202,,,,
8501,1996,Uttar Pradesh,Mirzapur,54,Kamal,M,Independent,N/A,1315877,1315674,0,203,,,,
8502,1996,Uttar Pradesh,Mirzapur,54,Mohammed Yusuf Ali,M,Independent,N/A,1315877,1315674,0,203,,,,
8503,1996,Uttar Pradesh,Mirzapur,54,Jawahir,M,Independent,N/A,1315877,1315669,0,208,,,,
8504,1996,Uttar Pradesh,Mirzapur,54,Vijay Shankar,M,Independent,N/A,1315877,1315658,0,219,,,,
8505,1996,Uttar Pradesh,Mirzapur,54,Tarkeshwar,M,Independent,N/A,1315877,1315650,0,227,,,,
8506,1996,Uttar Pradesh,Mirzapur,54,Pradeep Kumar,M,Independent,N/A,1315877,1315648,0,229,,,,
8507,1996,Uttar Pradesh,Mirzapur,54,Ramagya Devi,F,Independent,N/A,1315877,1315646,0,231,,,,
8508,1996,Uttar Pradesh,Mirzapur,54,Sharda Prasad,M,Independent,N/A,1315877,1315642,0,235,,,,
8509,1996,Uttar Pradesh,Mirzapur,54,Yunus,M,Independent,N/A,1315877,1315632,0,245,,,,
8510,1996,Uttar Pradesh,Mirzapur,54,Shivnath,M,Independent,N/A,1315877,1315616,0,261,,,,
8511,1996,Uttar Pradesh,Mirzapur,54,Vijay Shankar,M,Independent,N/A,1315877,1315610,0,267,,,,
8512,1996,Uttar Pradesh,Mirzapur,54,Lalta,M,Independent,N/A,1315877,1315590,0,287,,,,
8513,1996,Uttar Pradesh,Mirzapur,54,Jagdish,M,Independent,N/A,1315877,1315443,0,434,,,,
8514,1996,Uttar Pradesh,Mirzapur,54,Manik Chand,M,Independent,N/A,1315877,1315411,0,466,,,,
8515,1996,Uttar Pradesh,Mirzapur,54,Akhilesh,M,Independent,N/A,1315877,1315408,0,469,,,,
8516,1996,Uttar Pradesh,Mirzapur,54,Ram Sanehi,M,Independent,N/A,1315877,1315394,0,483,,,,
8517,1996,Uttar Pradesh,Mirzapur,54,Bechan,M,Independent,N/A,1315877,1315389,0,488,,,,
8518,1996,Uttar Pradesh,Mirzapur,54,Jaishree Devi,F,Independent,N/A,1315877,1315378,0,499,,,,
8519,1996,Uttar Pradesh,Mirzapur,54,Inderjeet Bhartee,M,Independent,N/A,1315877,1315377,0,500,,,,
8520,1996,Uttar Pradesh,Mirzapur,54,Seetaram,M,Independent,N/A,1315877,1315371,0,506,,,,
8521,1996,Uttar Pradesh,Mirzapur,54,Narendra Prasad,M,Independent,N/A,1315877,1315356,0,521,,,,
8522,1996,Uttar Pradesh,Mirzapur,54,Ramkaran Yadav,M,Independent,N/A,1315877,1315353,0,524,,,,
8523,1996,Uttar Pradesh,Mirzapur,54,Balli,M,Independent,N/A,1315877,1315312,0,565,,,,
8524,1996,Uttar Pradesh,Mirzapur,54,Radheyshyam,M,Uttar Pradesh Republican Party,N/A,1315877,1315255,0,622,,,,
8525,1996,Uttar Pradesh,Mirzapur,54,Kanhaiya Lal,M,Independent,N/A,1315877,1315248,0,629,,,,
8526,1996,Uttar Pradesh,Mirzapur,54,Rampravesh,M,Shivsena,N/A,1315877,1315193,0.1,684,,,,
8527,1996,Uttar Pradesh,Mirzapur,54,Ramjee,M,Independent,N/A,1315877,1315165,0.1,712,,,,
8528,1996,Uttar Pradesh,Mirzapur,54,Duryodhan Prasad,M,Independent,N/A,1315877,1315159,0.1,718,,,,
8529,1996,Uttar Pradesh,Mirzapur,54,Mahendra,M,Independent,N/A,1315877,1315154,0.1,723,,,,
8530,1996,Uttar Pradesh,Mirzapur,54,Afros,M,Indian Democratic Party,N/A,1315877,1315151,0.1,726,,,,
8531,1996,Uttar Pradesh,Mirzapur,54,Akhlak Ahmed,M,Independent,N/A,1315877,1315025,0.1,852,,,,
8532,1996,Uttar Pradesh,Mirzapur,54,Ravi Kumar,M,Independent,N/A,1315877,1314988,0.1,889,,,,
8533,1996,Uttar Pradesh,Mirzapur,54,Shahjad,M,Independent,N/A,1315877,1314987,0.1,890,,,,
8534,1996,Uttar Pradesh,Mirzapur,54,Shyamjeet,M,Janata Party,N/A,1315877,1314948,0.1,929,,,,
8535,1996,Uttar Pradesh,Mirzapur,54,Ramchandra,M,Independent,N/A,1315877,1314769,0.1,1108,,,,
8536,1996,Uttar Pradesh,Mirzapur,54,Payag,M,Independent,N/A,1315877,1314764,0.1,1113,,,,
8537,1996,Uttar Pradesh,Mirzapur,54,Sheetla,M,Bhoomijotak Samooh,N/A,1315877,1314730,0.1,1147,,,,
8538,1996,Uttar Pradesh,Mirzapur,54,Surendra Prasad,M,Independent,N/A,1315877,1314312,0.1,1565,,,,
8539,1996,Uttar Pradesh,Mirzapur,54,Basantlal,M,Independent,N/A,1315877,1313850,0.2,2027,,,,
8540,1996,Uttar Pradesh,Mirzapur,54,Rajmani Bind,M,Independent,N/A,1315877,1313391,0.2,2486,,,,
8541,1996,Uttar Pradesh,Mirzapur,54,Prem Chand Bind,M,Pragtisheel Manav Samaj Party,N/A,1315877,1312805,0.2,3072,,,,
8542,1996,Uttar Pradesh,Mirzapur,54,Mata Prasad,M,All India Indira Congress (Tiwari),N/A,1315877,1310350,0.4,5527,,,,
8543,1996,Uttar Pradesh,Mirzapur,54,Rajender,M,Apna Dal,N/A,1315877,1308879,0.5,6998,,,,
8544,1996,Uttar Pradesh,Mirzapur,54,Heeramani Singh,M,Indian National Congress,N/A,1315877,1307917,0.6,7960,,,,
8545,1996,Uttar Pradesh,Mirzapur,54,Ramkishor Bind,M,Bahujan Samaj Party,N/A,1315877,1224869,6.9,91008,,,,
8546,1996,Uttar Pradesh,Mirzapur,54,Virendra Singh,M,Bharatiya Janata Party,N/A,1315877,1054925,19.8,260952,,,,
8547,1996,Uttar Pradesh,Mirzapur,54,Phulan Devi,F,Samajwadi Party,N/A,1315877,1017879,22.6,297998,,,,
8548,1996,Uttar Pradesh,Phulpur,55,Suresh Chandra,M,Independent,N/A,1177561,1177408,0,153,,,,
8549,1996,Uttar Pradesh,Phulpur,55,Chhotelal,M,Independent,N/A,1177561,1177371,0,190,,,,
8550,1996,Uttar Pradesh,Phulpur,55,Sushila,F,Independent,N/A,1177561,1177361,0,200,,,,
8551,1996,Uttar Pradesh,Phulpur,55,Arun Kumar,M,Independent,N/A,1177561,1177299,0,262,,,,
8552,1996,Uttar Pradesh,Phulpur,55,Inderpal,M,Independent,N/A,1177561,1177190,0,371,,,,
8553,1996,Uttar Pradesh,Phulpur,55,Akbar Hussain Prince,M,Independent,N/A,1177561,1177183,0,378,,,,
8554,1996,Uttar Pradesh,Phulpur,55,Bal Govind,M,Independent,N/A,1177561,1177157,0,404,,,,
8555,1996,Uttar Pradesh,Phulpur,55,Sunita Devi,F,Independent,N/A,1177561,1177144,0,417,,,,
8556,1996,Uttar Pradesh,Phulpur,55,Anvar Begum,F,Independent,N/A,1177561,1177108,0,453,,,,
8557,1996,Uttar Pradesh,Phulpur,55,Raj Pati Devi,F,Independent,N/A,1177561,1177103,0,458,,,,
8558,1996,Uttar Pradesh,Phulpur,55,Raghubir Singh,M,Independent,N/A,1177561,1177079,0,482,,,,
8559,1996,Uttar Pradesh,Phulpur,55,Radhey Shyam Mishra,M,Independent,N/A,1177561,1177077,0,484,,,,
8560,1996,Uttar Pradesh,Phulpur,55,Mouji Lal Patel,M,Independent,N/A,1177561,1177067,0,494,,,,
8561,1996,Uttar Pradesh,Phulpur,55,Ram Khelavan,M,Independent,N/A,1177561,1177059,0,502,,,,
8562,1996,Uttar Pradesh,Phulpur,55,Mahender Kumar Yadav,M,Proutist Sarva Samaj Samiti,N/A,1177561,1177005,0,556,,,,
8563,1996,Uttar Pradesh,Phulpur,55,Sushil Kumar Singh,M,Independent,N/A,1177561,1176989,0,572,,,,
8564,1996,Uttar Pradesh,Phulpur,55,Parasnath,M,Shivsena,N/A,1177561,1176942,0.1,619,,,,
8565,1996,Uttar Pradesh,Phulpur,55,Arjun Prasad Bind,M,Independent,N/A,1177561,1176906,0.1,655,,,,
8566,1996,Uttar Pradesh,Phulpur,55,Sheo Pujan,M,Independent,N/A,1177561,1176892,0.1,669,,,,
8567,1996,Uttar Pradesh,Phulpur,55,R.C. Gupta,M,Independent,N/A,1177561,1176881,0.1,680,,,,
8568,1996,Uttar Pradesh,Phulpur,55,Navrang Bahadur Singh,M,Independent,N/A,1177561,1176856,0.1,705,,,,
8569,1996,Uttar Pradesh,Phulpur,55,Lallan,M,Independent,N/A,1177561,1176843,0.1,718,,,,
8570,1996,Uttar Pradesh,Phulpur,55,Bhairo Prasad,M,Independent,N/A,1177561,1176831,0.1,730,,,,
8571,1996,Uttar Pradesh,Phulpur,55,Kunwar Ji Nishad,M,Independent,N/A,1177561,1176807,0.1,754,,,,
8572,1996,Uttar Pradesh,Phulpur,55,Hari Ram Bind,M,Independent,N/A,1177561,1176774,0.1,787,,,,
8573,1996,Uttar Pradesh,Phulpur,55,Ramnath,M,Independent,N/A,1177561,1176522,0.1,1039,,,,
8574,1996,Uttar Pradesh,Phulpur,55,Vinod Kumar,M,Independent,N/A,1177561,1176484,0.1,1077,,,,
8575,1996,Uttar Pradesh,Phulpur,55,Algoo Ram,M,Independent,N/A,1177561,1176408,0.1,1153,,,,
8576,1996,Uttar Pradesh,Phulpur,55,Devtadeen,M,Independent,N/A,1177561,1176374,0.1,1187,,,,
8577,1996,Uttar Pradesh,Phulpur,55,Jafar Ullhah,M,Independent,N/A,1177561,1176270,0.1,1291,,,,
8578,1996,Uttar Pradesh,Phulpur,55,Kumud Sharma,M,Independent,N/A,1177561,1175943,0.1,1618,,,,
8579,1996,Uttar Pradesh,Phulpur,55,Jahoor Ullah,M,Independent,N/A,1177561,1175802,0.1,1759,,,,
8580,1996,Uttar Pradesh,Phulpur,55,Makhan Lal,M,Independent,N/A,1177561,1175791,0.2,1770,,,,
8581,1996,Uttar Pradesh,Phulpur,55,Laxmi Datt Pandey,M,Independent,N/A,1177561,1175709,0.2,1852,,,,
8582,1996,Uttar Pradesh,Phulpur,55,Sukhram Patel,M,Independent,N/A,1177561,1175541,0.2,2020,,,,
8583,1996,Uttar Pradesh,Phulpur,55,Ranjor Singh,M,Akhil Bharatiya Berozgaar Party,N/A,1177561,1175520,0.2,2041,,,,
8584,1996,Uttar Pradesh,Phulpur,55,Sone Lal Patel,M,Apna Dal,N/A,1177561,1175135,0.2,2426,,,,
8585,1996,Uttar Pradesh,Phulpur,55,Mohd. Ismail,M,Indian National League,N/A,1177561,1174723,0.2,2838,,,,
8586,1996,Uttar Pradesh,Phulpur,55,Ram Ji Dubey,M,Independent,N/A,1177561,1174167,0.3,3394,,,,
8587,1996,Uttar Pradesh,Phulpur,55,Romesh Sharma,M,Independent,N/A,1177561,1173938,0.3,3623,,,,
8588,1996,Uttar Pradesh,Phulpur,55,Shyam Surat Upadhai,M,All India Indira Congress (Tiwari),N/A,1177561,1162257,1.3,15304,,,,
8589,1996,Uttar Pradesh,Phulpur,55,Ram Pujan Patel,M,Indian National Congress,N/A,1177561,1109847,5.8,67714,,,,
8590,1996,Uttar Pradesh,Phulpur,55,B.D.Singh,M,Bharatiya Janata Party,N/A,1177561,1058243,10.1,119318,,,,
8591,1996,Uttar Pradesh,Phulpur,55,Kanshi Ram,M,Bahujan Samaj Party,N/A,1177561,1030738,12.5,146823,,,,
8592,1996,Uttar Pradesh,Phulpur,55,Jang Bahadur Singh Patel,M,Samajwadi Party,N/A,1177561,1014717,13.8,162844,,,,
8593,1996,Uttar Pradesh,Allahabad,56,Lalloo Singh,M,Independent,N/A,1391585,1391515,0,70,,,,
8594,1996,Uttar Pradesh,Allahabad,56,Shiv Gopal,M,Independent,N/A,1391585,1391484,0,101,,,,
8595,1996,Uttar Pradesh,Allahabad,56,Umesh Chander Gupta,M,Independent,N/A,1391585,1391468,0,117,,,,
8596,1996,Uttar Pradesh,Allahabad,56,Virender Singh,M,Independent,N/A,1391585,1391466,0,119,,,,
8597,1996,Uttar Pradesh,Allahabad,56,Alok,M,Independent,N/A,1391585,1391461,0,124,,,,
8598,1996,Uttar Pradesh,Allahabad,56,Kamlesh Kumari Rahul,F,Bahujan Kranti Dal,N/A,1391585,1391445,0,140,,,,
8599,1996,Uttar Pradesh,Allahabad,56,Mahant Gopal Das,M,Independent,N/A,1391585,1391440,0,145,,,,
8600,1996,Uttar Pradesh,Allahabad,56,Prabha Sahay,M,Bhartiya Jan Kisan Party,N/A,1391585,1391436,0,149,,,,
8601,1996,Uttar Pradesh,Allahabad,56,Lal Ji Sharma,M,Independent,N/A,1391585,1391433,0,152,,,,
8602,1996,Uttar Pradesh,Allahabad,56,Rajesh Kothari,M,Independent,N/A,1391585,1391433,0,152,,,,
8603,1996,Uttar Pradesh,Allahabad,56,Krishnkant,M,Independent,N/A,1391585,1391423,0,162,,,,
8604,1996,Uttar Pradesh,Allahabad,56,Om Prakash Nirala,M,Independent,N/A,1391585,1391419,0,166,,,,
8605,1996,Uttar Pradesh,Allahabad,56,Vinod Kumar,M,Independent,N/A,1391585,1391409,0,176,,,,
8606,1996,Uttar Pradesh,Allahabad,56,Shrikant Singh Singraur,M,Proutist Sarva Samaj Samiti,N/A,1391585,1391402,0,183,,,,
8607,1996,Uttar Pradesh,Allahabad,56,Balram Nishad,M,Independent,N/A,1391585,1391396,0,189,,,,
8608,1996,Uttar Pradesh,Allahabad,56,Jawahar Lal Srivastava,M,Independent,N/A,1391585,1391392,0,193,,,,
8609,1996,Uttar Pradesh,Allahabad,56,Jawahar Lal Nishad,M,Independent,N/A,1391585,1391386,0,199,,,,
8610,1996,Uttar Pradesh,Allahabad,56,Kamachcha Prasad,M,Independent,N/A,1391585,1391384,0,201,,,,
8611,1996,Uttar Pradesh,Allahabad,56,Amar Nath,M,Independent,N/A,1391585,1391372,0,213,,,,
8612,1996,Uttar Pradesh,Allahabad,56,Krishan Kumar Dubey,M,Independent,N/A,1391585,1391371,0,214,,,,
8613,1996,Uttar Pradesh,Allahabad,56,Badrujjma,M,Independent,N/A,1391585,1391364,0,221,,,,
8614,1996,Uttar Pradesh,Allahabad,56,Suresh Kumar Tiwari,M,Akhil Bharatiya Berozgaar Party,N/A,1391585,1391362,0,223,,,,
8615,1996,Uttar Pradesh,Allahabad,56,Subedar Singh,M,Independent,N/A,1391585,1391355,0,230,,,,
8616,1996,Uttar Pradesh,Allahabad,56,Ashok Kumar,M,Independent,N/A,1391585,1391350,0,235,,,,
8617,1996,Uttar Pradesh,Allahabad,56,Pramod Srivastava,M,Independent,N/A,1391585,1391335,0,250,,,,
8618,1996,Uttar Pradesh,Allahabad,56,Sangam Lal,M,Independent,N/A,1391585,1391327,0,258,,,,
8619,1996,Uttar Pradesh,Allahabad,56,Goma Lal,M,Independent,N/A,1391585,1391317,0,268,,,,
8620,1996,Uttar Pradesh,Allahabad,56,Gulam Sarwar,M,Independent,N/A,1391585,1391315,0,270,,,,
8621,1996,Uttar Pradesh,Allahabad,56,Shiv Narayan Kushwaha,M,Independent,N/A,1391585,1391308,0,277,,,,
8622,1996,Uttar Pradesh,Allahabad,56,Bhup Singh Urf Gyan Singh,M,Independent,N/A,1391585,1391306,0,279,,,,
8623,1996,Uttar Pradesh,Allahabad,56,Dinesh Sainik Chamar,M,Independent,N/A,1391585,1391282,0,303,,,,
8624,1996,Uttar Pradesh,Allahabad,56,Mohd. Sarvar,M,Independent,N/A,1391585,1391268,0,317,,,,
8625,1996,Uttar Pradesh,Allahabad,56,Chunni Lal,M,Ambedkar Kranti Dal,N/A,1391585,1391266,0,319,,,,
8626,1996,Uttar Pradesh,Allahabad,56,Badshah Khan,M,Independent,N/A,1391585,1391260,0,325,,,,
8627,1996,Uttar Pradesh,Allahabad,56,Krishan Kumar Sharma,M,Independent,N/A,1391585,1391256,0,329,,,,
8628,1996,Uttar Pradesh,Allahabad,56,Mantri Prasad Shukla,M,Independent,N/A,1391585,1391251,0,334,,,,
8629,1996,Uttar Pradesh,Allahabad,56,Kailash Chander Bharti,M,Independent,N/A,1391585,1391237,0,348,,,,
8630,1996,Uttar Pradesh,Allahabad,56,Rama Shankar Vaishya,M,Independent,N/A,1391585,1391230,0,355,,,,
8631,1996,Uttar Pradesh,Allahabad,56,Brijender Bahadur Singh,M,Independent,N/A,1391585,1391228,0,357,,,,
8632,1996,Uttar Pradesh,Allahabad,56,Ramayan,M,Independent,N/A,1391585,1391225,0,360,,,,
8633,1996,Uttar Pradesh,Allahabad,56,Ahmed Hussain Gudvin,M,Independent,N/A,1391585,1391216,0,369,,,,
8634,1996,Uttar Pradesh,Allahabad,56,Akshaywar Nath,M,Independent,N/A,1391585,1391195,0,390,,,,
8635,1996,Uttar Pradesh,Allahabad,56,Mumtaz Husain,F,Independent,N/A,1391585,1391193,0,392,,,,
8636,1996,Uttar Pradesh,Allahabad,56,Sakal Dev Yadav,M,Independent,N/A,1391585,1391185,0,400,,,,
8637,1996,Uttar Pradesh,Allahabad,56,Bal Krishan Dwivedi,M,Independent,N/A,1391585,1391178,0,407,,,,
8638,1996,Uttar Pradesh,Allahabad,56,Fagu Ram,M,Independent,N/A,1391585,1391174,0,411,,,,
8639,1996,Uttar Pradesh,Allahabad,56,Ramesh,M,Independent,N/A,1391585,1391149,0,436,,,,
8640,1996,Uttar Pradesh,Allahabad,56,Ram Bahadur Kole,M,Independent,N/A,1391585,1391033,0,552,,,,
8641,1996,Uttar Pradesh,Allahabad,56,Dilip Dhuriya,M,Independent,N/A,1391585,1390965,0,620,,,,
8642,1996,Uttar Pradesh,Allahabad,56,Shyam Bihari Jaiswal,M,Independent,N/A,1391585,1390888,0.1,697,,,,
8643,1996,Uttar Pradesh,Allahabad,56,Dilip Kumar Gaur,M,Independent,N/A,1391585,1390885,0.1,700,,,,
8644,1996,Uttar Pradesh,Allahabad,56,Rakesh Narayan Hajela,M,All India Indira Congress (Tiwari),N/A,1391585,1390885,0.1,700,,,,
8645,1996,Uttar Pradesh,Allahabad,56,Dharam Raj Singh,M,Independent,N/A,1391585,1390824,0.1,761,,,,
8646,1996,Uttar Pradesh,Allahabad,56,Jairam,M,Independent,N/A,1391585,1390774,0.1,811,,,,
8647,1996,Uttar Pradesh,Allahabad,56,Anil Kumar,M,Independent,N/A,1391585,1390697,0.1,888,,,,
8648,1996,Uttar Pradesh,Allahabad,56,Manoj Dubey,M,Independent,N/A,1391585,1390678,0.1,907,,,,
8649,1996,Uttar Pradesh,Allahabad,56,Lakshmikant Mishra,M,Independent,N/A,1391585,1390654,0.1,931,,,,
8650,1996,Uttar Pradesh,Allahabad,56,Kailash Nath Singh Patel,M,Apna Dal,N/A,1391585,1390628,0.1,957,,,,
8651,1996,Uttar Pradesh,Allahabad,56,Genda Lal Singh Patel,M,Independent,N/A,1391585,1390551,0.1,1034,,,,
8652,1996,Uttar Pradesh,Allahabad,56,Rama Shankar Tiwari,M,Independent,N/A,1391585,1390470,0.1,1115,,,,
8653,1996,Uttar Pradesh,Allahabad,56,Anand Mohan,M,Independent,N/A,1391585,1390294,0.1,1291,,,,
8654,1996,Uttar Pradesh,Allahabad,56,Rajesh Kumar Kesarvani,M,Independent,N/A,1391585,1390261,0.1,1324,,,,
8655,1996,Uttar Pradesh,Allahabad,56,Chandrika Prasad,M,Independent,N/A,1391585,1390073,0.1,1512,,,,
8656,1996,Uttar Pradesh,Allahabad,56,Rajbali Singh,M,Independent,N/A,1391585,1390030,0.1,1555,,,,
8657,1996,Uttar Pradesh,Allahabad,56,Kailash Nath,M,Independent,N/A,1391585,1389649,0.1,1936,,,,
8658,1996,Uttar Pradesh,Allahabad,56,Tej Kumar Bhargava,M,Independent,N/A,1391585,1389490,0.2,2095,,,,
8659,1996,Uttar Pradesh,Allahabad,56,Bachcha Mahara,M,Independent,N/A,1391585,1389237,0.2,2348,,,,
8660,1996,Uttar Pradesh,Allahabad,56,Dasai Ram,M,Independent,N/A,1391585,1388803,0.2,2782,,,,
8661,1996,Uttar Pradesh,Allahabad,56,Vijay Shankar,M,Independent,N/A,1391585,1383758,0.6,7827,,,,
8662,1996,Uttar Pradesh,Allahabad,56,Jagdish Narayan Mishra,M,Indian National Congress,N/A,1391585,1361578,2.2,30007,,,,
8663,1996,Uttar Pradesh,Allahabad,56,Ram Sevak Singh,M,Bahujan Samaj Party,N/A,1391585,1289233,7.4,102352,,,,
8664,1996,Uttar Pradesh,Allahabad,56,Saroj Dubey,F,Janata Dal,N/A,1391585,1278264,8.1,113321,,,,
8665,1996,Uttar Pradesh,Allahabad,56,Murli Manohar Joshi,M,Bharatiya Janata Party,N/A,1391585,1174741,15.6,216844,,,,
8666,1996,Uttar Pradesh,Chail,57,Moti Lal Bhartiya,M,Independent,N/A,1300833,1300610,0,223,,,,
8667,1996,Uttar Pradesh,Chail,57,Ram Shiromani,M,Independent,N/A,1300833,1300502,0,331,,,,
8668,1996,Uttar Pradesh,Chail,57,Chander Bali,M,Independent,N/A,1300833,1300362,0,471,,,,
8669,1996,Uttar Pradesh,Chail,57,Ram Kumar,M,Bhartiya Jan Kisan Party,N/A,1300833,1300349,0,484,,,,
8670,1996,Uttar Pradesh,Chail,57,Dashrath Lal,M,Independent,N/A,1300833,1300302,0,531,,,,
8671,1996,Uttar Pradesh,Chail,57,Lovkush,M,Independent,N/A,1300833,1300283,0,550,,,,
8672,1996,Uttar Pradesh,Chail,57,Vijay Kumar,M,Independent,N/A,1300833,1300262,0,571,,,,
8673,1996,Uttar Pradesh,Chail,57,Chander Prakash Urf Chunnu Passi,M,Independent,N/A,1300833,1300146,0.1,687,,,,
8674,1996,Uttar Pradesh,Chail,57,Kamta Prasad,M,Independent,N/A,1300833,1300074,0.1,759,,,,
8675,1996,Uttar Pradesh,Chail,57,Mahesh Chander Sonkar,M,Independent,N/A,1300833,1299876,0.1,957,,,,
8676,1996,Uttar Pradesh,Chail,57,Ram Pratap,M,Pragtisheel Manav Samaj Party,N/A,1300833,1299753,0.1,1080,,,,
8677,1996,Uttar Pradesh,Chail,57,Munni Lal,M,Independent,N/A,1300833,1299563,0.1,1270,,,,
8678,1996,Uttar Pradesh,Chail,57,Tulsi Das,M,Independent,N/A,1300833,1299438,0.1,1395,,,,
8679,1996,Uttar Pradesh,Chail,57,Chaudhri Mahender Singh,M,Independent,N/A,1300833,1299406,0.1,1427,,,,
8680,1996,Uttar Pradesh,Chail,57,Pramod Kumar,M,Independent,N/A,1300833,1299271,0.1,1562,,,,
8681,1996,Uttar Pradesh,Chail,57,Vindeshwari Prasad Arya,M,Independent,N/A,1300833,1299085,0.1,1748,,,,
8682,1996,Uttar Pradesh,Chail,57,Narayan Dev,M,Independent,N/A,1300833,1298953,0.1,1880,,,,
8683,1996,Uttar Pradesh,Chail,57,Lakhan Lal,M,Indian National League,N/A,1300833,1297893,0.2,2940,,,,
8684,1996,Uttar Pradesh,Chail,57,Manni Lal,M,Independent,N/A,1300833,1296584,0.3,4249,,,,
8685,1996,Uttar Pradesh,Chail,57,Lakhan Singh Passi,M,Apna Dal,N/A,1300833,1294493,0.5,6340,,,,
8686,1996,Uttar Pradesh,Chail,57,Purushotam Lal,M,Indian National Congress,N/A,1300833,1290969,0.8,9864,,,,
8687,1996,Uttar Pradesh,Chail,57,Shashi Prakash,M,Bahujan Samaj Party,N/A,1300833,1200986,7.7,99847,,,,
8688,1996,Uttar Pradesh,Chail,57,Suresh Pasi,M,Samajwadi Party,N/A,1300833,1200573,7.7,100260,,,,
8689,1996,Uttar Pradesh,Chail,57,Amrit Lal Bharti,M,Bharatiya Janata Party,N/A,1300833,1168994,10.1,131839,,,,
8690,1996,Uttar Pradesh,Fatehpur,58,Jawaharlal Nishad,M,Independent,N/A,1141848,1141764,0,84,,,,
8691,1996,Uttar Pradesh,Fatehpur,58,Kalloo,M,Independent,N/A,1141848,1141739,0,109,,,,
8692,1996,Uttar Pradesh,Fatehpur,58,Sarjoo Prasad,M,Independent,N/A,1141848,1141714,0,134,,,,
8693,1996,Uttar Pradesh,Fatehpur,58,Pramod Kumar Singh,M,Independent,N/A,1141848,1141704,0,144,,,,
8694,1996,Uttar Pradesh,Fatehpur,58,Kamta Prasad Singh,M,Independent,N/A,1141848,1141697,0,151,,,,
8695,1996,Uttar Pradesh,Fatehpur,58,Nankoo Singh,M,Independent,N/A,1141848,1141690,0,158,,,,
8696,1996,Uttar Pradesh,Fatehpur,58,Ved Narayan Tripathi,M,Independent,N/A,1141848,1141685,0,163,,,,
8697,1996,Uttar Pradesh,Fatehpur,58,Munna Khan,M,Independent,N/A,1141848,1141685,0,163,,,,
8698,1996,Uttar Pradesh,Fatehpur,58,Awadesh Kumar Dikshit,M,Independent,N/A,1141848,1141681,0,167,,,,
8699,1996,Uttar Pradesh,Fatehpur,58,Rajesh Kumar Pandey,M,Akhil Bharatiya Berozgaar Party,N/A,1141848,1141680,0,168,,,,
8700,1996,Uttar Pradesh,Fatehpur,58,Munna Lal,M,Independent,N/A,1141848,1141676,0,172,,,,
8701,1996,Uttar Pradesh,Fatehpur,58,Ram Sharan Singh Yadav,M,Independent,N/A,1141848,1141669,0,179,,,,
8702,1996,Uttar Pradesh,Fatehpur,58,Shivdutt Prasad Joshi,M,Independent,N/A,1141848,1141636,0,212,,,,
8703,1996,Uttar Pradesh,Fatehpur,58,Radhakant,M,Independent,N/A,1141848,1141632,0,216,,,,
8704,1996,Uttar Pradesh,Fatehpur,58,Tribhuvan Singh,M,Independent,N/A,1141848,1141628,0,220,,,,
8705,1996,Uttar Pradesh,Fatehpur,58,Manni Singh,M,Independent,N/A,1141848,1141627,0,221,,,,
8706,1996,Uttar Pradesh,Fatehpur,58,Ram Bhawan,M,Independent,N/A,1141848,1141596,0,252,,,,
8707,1996,Uttar Pradesh,Fatehpur,58,Ram Sajeevan,M,Independent,N/A,1141848,1141589,0,259,,,,
8708,1996,Uttar Pradesh,Fatehpur,58,Raju,M,Independent,N/A,1141848,1141580,0,268,,,,
8709,1996,Uttar Pradesh,Fatehpur,58,Shabir,M,Independent,N/A,1141848,1141535,0,313,,,,
8710,1996,Uttar Pradesh,Fatehpur,58,Krishnpal Singh Lodhi,M,Independent,N/A,1141848,1141528,0,320,,,,
8711,1996,Uttar Pradesh,Fatehpur,58,Ram Swaroop Sharma,M,Bahujan Kranti Dal,N/A,1141848,1141527,0,321,,,,
8712,1996,Uttar Pradesh,Fatehpur,58,Pancham Singh Lodhi,M,Independent,N/A,1141848,1141514,0,334,,,,
8713,1996,Uttar Pradesh,Fatehpur,58,Vaijnath,M,Independent,N/A,1141848,1141468,0,380,,,,
8714,1996,Uttar Pradesh,Fatehpur,58,Ram Narayan,M,Independent,N/A,1141848,1141447,0,401,,,,
8715,1996,Uttar Pradesh,Fatehpur,58,Prem Nath Vishvakarma,M,Independent,N/A,1141848,1141424,0,424,,,,
8716,1996,Uttar Pradesh,Fatehpur,58,Pratap Bhan Singh,M,Independent,N/A,1141848,1141407,0,441,,,,
8717,1996,Uttar Pradesh,Fatehpur,58,Vishnu Swaroop,M,Independent,N/A,1141848,1141401,0,447,,,,
8718,1996,Uttar Pradesh,Fatehpur,58,Ram Sanehi,M,Independent,N/A,1141848,1141385,0,463,,,,
